"#symbol","logFC","logCPM","LR","PValue","adj.p"
"SCIN",0.464610635654148,2.83628241383772,0.686778619912253,0.407262257539376,1
"ARSD",-1.03341705435777,6.2282186656878,8.65025827902059,0.00327014997629724,0.0557175653909156
"PNPLA4",-1.47344269329895,3.44537188226124,7.88566400710434,0.00498281806726384,0.073992991483718
"MYH13",-0.185926375659582,1.10753852687201,0.133388546233484,0.714944228937562,1
"ADIPOR2",-1.02672494408789,5.79527087113584,8.17720194150162,0.00424201434327621,0.0663421217063284
"CDKL3",-0.214235225852086,2.27572411505678,0.169745971031491,0.680337669973265,1
"UPP2",0.0893506951553209,1.14216992939353,0.0068257456138725,0.934155232020419,1
"MARK4",-0.102159390780605,4.40029775110259,0.0788099381359046,0.778916670126717,1
"PROM1",0.392365648636349,7.07103302808757,0.394414934206324,0.529987806133492,1
"CCDC124",-0.537573884472678,3.82310913110912,2.07490080746047,0.149739674406858,0.637316120962536
"CEACAM21",-0.216260165933715,2.90781189709693,0.173531961327193,0.676991730246569,1
"PAFAH1B1",-0.0167357120603753,6.95922567456262,0.00376758172875569,0.951056078357266,1
"NOS2",0.328486720344442,1.193548532928,0.0793893804197199,0.778126614921377,1
"DNAH9",0.652182751087243,1.86890860554411,1.10527131833321,0.293112173769811,0.946092581468556
"KIAA0100",-0.489680949587931,8.25207892732069,2.95501549206829,0.0856114859149413,0.454875647201708
"SLC13A2",0,1.09982271930342,0,1,1
"GAS7",-1.48090631494289,6.51112708562974,8.56911656147116,0.00341913019597681,0.0572197519753589
"TRAPPC6A",-0.50910561347571,4.62416293546801,1.59541262912803,0.206554521488832,0.774250950345446
"MATK",-0.327033036216,5.51612726922472,0.925458716042179,0.336045761867183,1
"CEACAM7",0,1.09982271930342,0,1,1
"CD79B",-0.617359781108902,4.55169708066494,1.7334499983901,0.187970899901639,0.729903739707476
"SCN4A",0.412733365633874,1.59808867253454,0.257216185583747,0.612039155504217,1
"ST7L",0.18308851366965,4.54633022438138,0.380407026462612,0.537385483159404,1
"TKTL1",1.01812263417842,1.47028980609733,1.37677525403322,0.24065120346567,0.845589674933741
"PAX6",-0.511471716539101,1.12391392332069,0.410963115962749,0.521481070123191,1
"RPUSD1",-1.35840167411889,4.62335781197609,13.7491461106024,0.000208915767581078,0.00894994381614396
"RHBDF1",-1.73185028671458,2.55954341192363,5.94309952392258,0.0147750132547131,0.15046880606243
"LUC7L",-0.110800465693289,6.48178079196255,0.117893836369355,0.731330115858644,1
"CACNA2D2",-1.30812615234852,2.79907241296813,2.02227152050465,0.155007111078588,0.650526683986363
"BAIAP3",-0.502388209122775,4.41060219495839,0.314169341415827,0.575132909440466,1
"TSR3",-1.01998383372905,4.45604442556664,8.89575879351985,0.00285833797711629,0.0510641476586935
"PIGQ",-1.26699707954521,5.42126087712036,10.5547617415795,0.00115889149919557,0.0282605996117728
"CRAMP1",-0.627142981531753,5.90457440769739,3.88714456199674,0.0486570835148419,0.316822901348467
"TEAD3",-1.16629711846537,1.19696197569506,0.953383261134649,0.328859609874347,1
"SELE",1.38242868070108,1.1586586577617,1.75556783734493,0.185178305943878,0.722871911827941
"DNAJC11",-0.715196525499677,5.11776456676794,5.6746714614391,0.0172115627120906,0.165340343784439
